sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
59B,59,B,Treated,Treated,-0.42,11.1,0.132,1.598,12.0767,1.6,7.65,1.673,0.934,1.0733,10.26,NA,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,78.8,8.6,40.36158,-111.86663,Kintail Saratoga,Utah Lake,UL9,2021,,Y,,8,53.3,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,174.8,176.6,NA,NA,NA,11.4,NA,28.44976843,1,Spray + Mow,Brackish,163.4,4.786,-0.0035,0.0173,0.0857,11.56,0.0007,0.0043,0.0156,0.0061,7.927,1.783,3.846,0.1365,0.0001,0.2038,0.0092,2.796,0.0118,0.8704,0.0003,2.678,0.0564,0.461,0.0245,0.0459
63B,63,B,Untreated,Untreated,-0.27,61.8,0.244,4.374,17.9278,5.2,7.652,2.901,4.2117,0.1506,35.68,-3,3749.666667,7.71,-234.0666667,Yes,2,cattail,"cattail, phragmites",2,phragmites,"phragmites, cattail",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1.4,208.2,22.75,41.16775,-112.18707,OBWMA,Great Salt Lake,,2016,,N,,14,93.3,4,Y, , , , , , , , , , ,,-140.44,-201,-244.2,0.233333333,2.966666667,-3,9.4,18.56666667,15.12227551,2,Grazing,Brackish,42.4,18.97,0.078,0.1355,0.4715,195.1,0.0133,0.0176,0.0572,0.2907,40.79,10.9,42.85,1.24,0.0004,6.482,0.0378,3.253,1.333,4.968,0.0005,5.163,0.3634,0.7149,0.1775,1.67
64B,64,B,Native,Untreated,-0.3,272.9,0.876,13.944,15.9184,21.4,7.783,7.976,7.5365,0.0894,38.69,21,1946.666667,7.4,-317.7,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,205,4.8,41.17576,-112.16986,OBWMA,Great Salt Lake,,,,N,,0,0,0,N,Y, ,Cause, , , , , , , ,,-190.62,-239.6,-255.4,0.196666667,2.6,21,0,20.96666667,50.06768853,1,NA,Saline,38.5,19.1,0.0859,0.2274,0.5532,123.1,0.0073,0.018,0.0608,0.2253,43.69,11.89,38.21,1.072,0.0071,5.725,0.0506,5.567,0.9984,20.68,0.0079,4.988,0.308,0.5296,0.1857,1.057
65B,65,B,Treated,Treated,-0.48,156.6,0.568,8.651,15.2179,11.8,7.666,2.632,7.025,0.0983,72.3,-1.6,2709.666667,7.466666667,-221.1333333,Yes,1,phragmites,phragmites,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,22.6,25.8,41.17627,-112.16831,OBWMA,Great Salt Lake,GSL10,,,N,,9,60,1,Y,Y, ,Cause, , , , , , , ,,-132.68,-194.8,-197.6,0.176666667,2.533333333,-1.6,2.6,26.13333333,17.37249534,2,NA,Brackish,229.5,21.41,0.0413,0.1563,0.5635,198.5,0.0062,0.0192,0.0633,0.1538,41.65,10.71,50.58,1.151,0.0033,6.034,0.0443,4.182,0.4707,7.983,-0.0076,5.258,0.4215,0.5278,0.2081,0.6244
66B,66,B,Native,Untreated,,NA,,,,,,,,,,-23.4,2162,6.97,-69.3,No,2,bullrush,"bullrush, grass",3,three square bullrush,"three square bullrush, ?",3,three square bullrush,"three square bullrush, ?",4,three square bullrush,"three square bullrush, ?",3,three square bullrush,"three square bullrush, ?",3,142,510.6,41.13001,-112.1496,Howard Slough,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-13.86,-5.6,-26.2,0.16,2,-23.4,0,19.4,NA,2,NA,,300.9,,,,,,,,,,,,,,,,,,,,,,,,,
67B,67,B,Untreated,Untreated,-0.82,85.2,0.201,4.348,21.6021,3.5,8.374,5.33,1.2508,0.0774,42.23,21,6349.666667,6.896666667,-255,Yes,2,phragmites,"phragmites, cattail",2,phragmites,"phragmites, hardstem bullrush",2,cattail,"cattail, phragmites",2,cattail,"cattail, phragmites",3,phragmites,"phramites, cattail, ?",2.2,221.6,14.8,41.12602,-112.14107,Howard Slough,Great Salt Lake,,,,N,,12,80,3,Y, , , , , , , , , , ,,-153,-247.2,-249.8,0.07,0.933333333,21,5.8,20.46666667,10.52512207,4,NA,Saline,109.5,20.88,0.0658,0.1794,0.567,232.3,0.0064,0.0204,0.0637,0.1664,46.93,13.12,77.34,1.763,0.0015,14.31,0.0535,4.327,0.4831,12.73,-0.0213,5.664,0.5647,1.01,0.2914,0.5673
68B,68,B,Native,Untreated,-0.64,30.7,0.397,7.179,18.0726,7.1,8.019,3.552,1.954,0.0989,52.05,2.7,2150,7.416666667,-77.6,Yes,1,three square bullrush,three square bullrush,4,three square bullrush,"three square bullrush, phragmites, ?",4,three square bullrush,"three square bullrush, rabbit foot, grass, phramites",3,three square bullrush,"three square bullrush, phragmites, grass",2,three square bullrush,"three square bullrush, phragmites",2.8,150.66,672,41.12355,-112.13982,Howard Slough,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-46.56,-127.8,-141.4,0.173333333,2.333333333,2.7,0,23.46666667,16.86638223,4,NA,Brackish,109.1,27.53,0.0767,0.2145,0.8084,268.4,0.0088,0.0237,0.0979,0.2901,55.8,16.45,85.37,1.721,0.0049,10.91,0.06,4.895,0.6852,8.146,0.0021,5.217,0.8137,0.9787,0.3409,0.9651
69B,69,B,Native,Untreated,-0.46,118.8,0.461,7.424,16.1126,8,7.915,2.454,3.2533,0.1221,54.67,5.3,2365.666667,7.09,-141.8666667,Yes,2,three square bullrush,"three square bullrush, cattail",2,three square bullrush,"three square bullrush, ?",2,three square bullrush,"three square bullrush, ?",3,three square bullrush,"three square bullrush, cattail, ?",3,cattail,"cattail, phragmites, three square bullrush",2.4,166,134,41.12295,-112.14029,Howard Slough,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-85.12,-247.6,-196.6,0.053333333,0.766666667,5.3,1.6,21.76666667,18.6467873,4,NA,Brackish,-0.1,27.16,0.1093,0.2614,0.9943,259.9,0.0094,0.0256,0.0891,0.2541,55.82,16.78,99.56,1.926,0.0041,11.42,0.0619,4.801,0.7294,10.67,-0.0016,5.206,0.7889,0.7082,0.3831,0.9815
70B,70,B,Treated,Treated,-0.49,35.7,0.274,4.458,16.2787,14.3,7.766,1.178,2.718,5.1637,54.96,-30,NA,NA,NA,Yes,2,?,"phragmites, ?",0,,,1,phragmites,phragmites,0,,,1,phragmites,phragmites,0.8,41.6,6.8,40.35397,-111.89886,Inlet Park Saratoga,Utah Lake,UL10,2021,,Y,,4,26.7,2,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,257,267.2,NA,NA,-30,11.2,NA,11.02442644,2,Spray + Mow,Fresh,111.1,33.82,0.0266,0.0946,0.6019,216.4,0.0072,0.0262,0.1177,0.0838,54.66,15.11,29.11,1.616,0.0034,0.7521,0.0753,4.327,0.0807,1.624,0.0055,6.124,0.6864,1.63,0.1712,0.3204
71B,71,B,Native,Untreated,-0.18,83.2,0.359,6.184,17.2128,6.3,7.665,1.834,6.9474,0.1599,50.51,10.6,3168,7.24,-93.86666667,Yes,1,cattail,cattail,1,cattail,cattail,2,cattail,"cattail, ?",2,cattail,"cattail, phragmites",3,cattail,"cattail, ?",1.8,157,17.6,40.35223,-111.89975,Inlet Park Saratoga,Utah Lake,,,,Y,,1,6.7,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-56.32,-129.4,-127.6,0.38,3.433333333,10.6,1.6,23.23333333,15.71698524,3,Spray + Mow,Brackish,111,35.29,0.06,0.122,0.5891,195.6,0.01,0.0284,0.1155,0.0915,59.97,14.37,30.8,1.099,0.0041,3.291,0.0975,4.518,0.0864,5.645,0.0026,6.043,1.009,1.274,0.1824,0.4287
72B,72,B,Treated,Treated,-0.82,24.3,0.159,3.581,22.5222,3.4,7.699,4.42,1.8643,0.1264,22.25,-30,NA,NA,NA,Yes,3,?,"phragmites, ?",4,phragmites,"phragmites, ?",2,?,?,7,phragmites,"phragmites, ?",4,lambs ear,"lambs ear, tamarisk, ?",4,108,22.2,40.35317,-111.89859,Inlet Park Saratoga,Utah Lake,UL11,2021,,N,,6,40,2,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,239.6,239.8,NA,NA,-30,2.5,NA,15.80226259,4,Mow,Saline,77.2,17.53,0.0194,0.0634,0.4002,182.9,0.0055,0.017,0.0539,0.0388,34.17,6.221,16.29,1.095,0.0026,2.517,0.0453,3.01,0.0466,2.529,-0.0007,5.423,0.5942,0.7777,0.0984,0.1701
73B,73,B,Native,Untreated,-0.91,115.9,1.011,16.658,16.4741,16.7,7.222,12.05,6.3971,4.4786,116.6,NA,NA,NA,NA,No,2,hardstem bullrush,"hardstem bullrush, birdweed",2,hardstem bullrush,"hardstem bullrush, ?",2,hardstem bullrush,"hardstem bullrush, birdweed",2,hardstem bullrush,"hardstem bullrush, birdweed",2,hardstem bullrush,"hardstem bullrush, birdweed",2,190.8,95,40.19695,-111.65153,Provo Bay,Utah Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,186,161,NA,NA,NA,1.6,NA,19.1736489,3,Mow,Saline,675.5,18.31,0.0317,0.2544,0.5838,454.5,0.0102,0.0182,0.0688,0.0934,39.94,5.87,46.42,1.441,0.0097,16.86,0.0446,6.181,0.2593,64.72,0.0127,3.4,3.125,0.5112,0.1973,1.058
74B,74,B,Treated,Treated,-0.79,66.1,0.877,13.918,15.8723,14.8,7.538,1.087,8.1607,3.773,134.23,NA,NA,NA,NA,Yes,5,phragmites,"phragmites, ?",4,phragmites,"phragmites, ?",3,phragmites,"phragmites, ?",5,phragmites,"phragmites, ?",4,phragmites,"phragmites, ?",4.2,154.8,256,40.19451,-111.64939,Provo Bay,Utah Lake,UL12,2021,,N,,11,73.3,5,Y, , , , , , , , , , ,,,198,198.6,NA,NA,NA,6.6,NA,14.44781489,2,Mow,Fresh,512.4,17.38,0.0229,0.2633,0.5897,479.1,0.0062,0.0169,0.0684,0.0903,39.25,6.765,43.23,1.119,0.0026,5.005,0.0445,6.665,0.1935,16.6,0.0046,4.687,3.058,0.5589,0.193,0.5929
75B,75,B,Untreated,Untreated,-0.17,74.1,0.291,5.152,17.717,5.5,7.64,0.8733,4.5626,0.0659,39.13,-3.5,921.3333333,6.863333333,-112.6,Yes,4,phragmites,"phragmites,?",3,phragmites,"phragmites, catail, ?",3,cattail,"cattail, phragmites, nightshade",4,cattail,"cattail, nightshade, phragmites, hardstem bullrush",3,hardstem bullrush,"hardstem bullrush, cattail, phragmites",3.4,254,52,40.18416,-111.65027,Lower Hobble Creek,Utah Lake,,,,N,,9,60,2,Y,N, , , , , , , , , ,Cause,,48.8,11.2,0.026666667,0.366666667,-3.5,10,21.1,16.4450541,5,NA,Fresh,182.1,11.03,-0.0007,0.0398,0.3567,193.2,0.0018,0.008,0.0425,0.0352,16.48,2.43,12.86,0.7477,-0.0007,0.4142,0.0207,3.339,0.0278,4.011,-0.0054,3.937,0.3945,0.4403,0.0645,0.1754
76B,76,B,Treated,Treated,-1.09,12.5,0.099,3.801,38.4449,2.2,7.74,1.186,1.1317,0.233,10.59,NA,NA,NA,NA,Yes,2,phragmites,"phragmites, tamarisk",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1.2,201,26.6,40.16848,-111.74623,Spanish Fork River,Utah Lake,UL13,2021,,N,,15,100,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,240,211.2,NA,NA,NA,5.8,NA,20.6724238,2,Trample + Mow,Fresh,46.8,9.461,0.01,0.0368,0.2844,271.6,0.002,0.0089,0.0309,0.0212,17.24,2.6,20.54,0.7211,0.0008,2.191,0.0169,2.172,0.03,2.224,-0.013,3.533,0.5737,0.3384,0.0851,0.0938
77B,77,B,Treated,Treated,-0.85,8.1,0.062,2.806,45.6076,1.1,8.495,0.2405,0.7821,1.7109,17.05,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,53.6,11.2,40.1686,-111.74382,Spanish Fork River,Utah Lake,UL14,2021,,Y,,13,86.7,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,216.4,252,NA,NA,-30,6.6,NA,8.041174218,1,Spray + Trample + Mow,Fresh,37.6,9.341,0.0061,0.0319,0.3598,252.3,0.0017,0.0083,0.0304,0.0188,17.99,3.135,21.09,0.6238,-0.0003,1.309,0.0153,2.508,0.0224,1.084,-0.0043,3.8,0.5272,0.5523,0.0954,0.0912
78B,78,B,Native,Untreated,-0.58,354.3,0.753,16.659,22.1372,11.2,7.567,6.512,2.1528,0.0992,30.31,3.6,5780.5,6.695,-145.55,No,1,?,?,1,?,?,3,?,"milkweed, ?",1,?,?,2,?,"milkweed, ?",1.6,131,37.2,40.13719,-111.80391,Lincoln Beach,Utah Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-58.22,-64,-80.2,0.635,9,3.6,44.6,15.13333333,54.93652759,2,NA,Saline,153.2,9.117,0.0303,0.1708,0.1997,626.6,0.0025,0.0066,0.0358,0.0561,14.47,6.374,47.29,0.4552,0.0062,10.78,0.0428,3.401,0.0989,19.22,0.0244,4.761,4.264,0.5251,0.1974,0.2486
79B,79,B,Native,Untreated,-0.44,36.8,0.056,4.76,85.5514,0.7,8.046,1.047,1.0976,0.0788,9.94,-20.4,3629,6.82,-111.5,No,4,?,?,2,?,?,2,?,?,2,?,?,1,?,?,2.2,136.8,38.8,40.08752,-111.86323,LaBaron Utah Lake,Utah Lake,,,,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,52,87,0.11,1.6,-20.4,0,22.5,12.45815724,1,NA,Fresh,15,7.495,0.0097,0.0291,0.3012,429,0.0014,0.0075,0.0393,0.0149,11.91,3.053,22.83,0.4737,0.0022,2.227,0.0118,1.697,0.0121,3.876,0.0073,4.979,1.541,0.4095,0.0909,0.0717
80B,80,B,Treated,Treated,-0.83,59.5,0.273,7.544,27.6357,4,7.613,4.596,2.6859,2.6594,44.28,NA,NA,NA,NA,Yes,4,phragmites,"phragmites, bullrush, ?",1,phragmites,phragmites,3,phragmites,"phragmites, ?",1,phragmites,phragmites,3,phragmites,"phragmites, russian olive, ?",2.4,100.4,48,40.08758,-111.86278,LaBaron Utah Lake,Utah Lake,UL15,2020,,N,,14,93.3,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,149,154.4,NA,NA,NA,6.6,NA,13.63349491,4,NA,Saline,2.3,8.032,0.0029,0.0305,0.3029,432.9,0.0016,0.0072,0.042,0.0149,12.16,3.239,22.9,0.4751,0.0036,2.254,0.0119,1.697,0.0231,3.925,0.0009,6.503,1.54,0.4507,0.0918,0.0704
1C,1,C,Native,Untreated,-0.01,209.7,1.284,20.298,15.8132,24.6,7.906,3.283,8.1906,14.3363,38.36,NA,NA,NA,NA,No,4,joe-pye,"american BR, thistle, mint",2,american BR,"joe-pye, american BR",3,joe-pye,"joe-pye, thistle, american BR",1,american BR,american BR,1,american BR,american BR,2.2,151.6,43.6,40.38164,-111.82273,AF1,Great Salt Lake,,,,N,,0,0,0,N,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,152.4,143.2,NA,NA,NA,14.2,NA,NA,4,NA,Brackish,,14.61,0.0403,0.0818,0.5495,543.5,0.0031,0.0126,0.0471,0.0558,26.69,6.132,34.13,0.8626,0.0025,6.566,0.0334,2.72,0.054,10.9,0.0049,5.136,2.345,0.553,0.1473,0.2133
2C,2,C,Untreated,Untreated,-0.39,37.5,0.385,10.358,26.8888,6.9,7.733,1.249,5.0058,3.4372,24.75,NA,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,3,phrahmites,"phragmites, dogsbane, thistle",1.4,156.2,10.6,40.38318,-111.82105,AF1,Great Salt Lake,,,,N,,11,73.3,4,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,239.8,237.8,NA,NA,NA,15,NA,NA,3,NA,Fresh,,7.903,0.1042,0.1847,0.7678,499.5,0.0054,0.012,0.0567,0.1086,37.68,2.55,48.79,1.081,0.0089,2.146,0.0265,4.03,0.1884,17.84,0.0598,4.083,2.904,0.3358,0.1806,0.3265
3C,3,C,Treated,Treated,-0.75,64.5,0.204,3.052,14.9979,3.7,8.045,6.998,5.3308,0.2698,5.88,-22,6342,7.35,292.6,Yes,1,phragmites,phragmites,2,phragmites,"phragmites, mystery",3,phragmites,"phragmites, suaeda caleoliformis, symphyotrichum ciliam",3,phragmites,"phragmites, thistle, symphyotrichum",1,phragmites,phragmites,2,89,35.8,40.38325,-111.9028,Jordan Willows Park,Great Salt Lake,,,,N,,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,104.2,92.8,0.01,0.1,-22,6.4,21.4,NA,5,NA,Saline,,31.17,0.0156,0.1017,0.8237,152.1,0.0051,0.023,0.1281,0.0855,47.82,12,40,0.4532,0.003,16.47,0.0881,1.847,0.0577,12.39,-0.0166,10.51,0.8966,0.482,0.1472,0.1931
4C,4,C,Untreated,Untreated,-0.4,91.4,1.144,18.822,16.4527,26,6.893,5.189,8.239,8.4018,22.74,15.5,792,7.93,272.5,Yes,4,alkali bulrush,"alkali bulrush, phragmites, unknown, unknown",1,phragmites,phragmites,3,phragmites,"phragmites, swamp verbina, gras",4,thistle,"thistle, swamp verbina, tail white flower, grass",4,thick stemmed grass,"grass x2, thistle, phragmites",3.2,162.4,53.6,40.39975,-111.81731,Mitchell Hollow AF,Great Salt Lake,,,,N,,6,40,2,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,54.5,57.2,30.2,7.16,86.2,15.5,2.3,16.23,NA,8,NA,Saline,,10.85,0.0494,0.1153,0.6716,445.9,0.0067,0.0114,0.0768,0.0764,39.77,2.453,21.3,0.5604,0.0112,2.52,0.0287,2.979,0.1532,30.39,-0.0141,4.132,1.586,0.3427,0.0783,0.2695
5C,5,C,Native,Untreated,-0.58,93.7,1.451,24.135,16.6324,27.4,7.476,8.585,4.225,33.0616,28.55,NA,NA,NA,NA,No,4,weed,"weed, grass, feather grass, milkweed",5,weed,"weed, milkweed, feather grass, tall thing grass",3,grass,"grass, unknown x 2",5,weed,"canadian thistle, weed, grass, grass golden rod, ?",5,golden rod,"golden rod, hardstem bulrush, unknown, weed, grass",4.4,78.6,42,40.36545,-111.80767,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,198,220.2,NA,NA,NA,4.75,NA,NA,8,NA,Saline,,4.724,0.049,0.167,0.8332,627,0.0053,0.0037,0.0469,0.1086,21.99,2.962,33.04,0.8963,0.0164,3.83,0.0118,2.975,0.2288,37.76,-0.0172,3.313,2.595,0.2421,0.0839,0.2903
6C,6,C,Native,Untreated,-0.31,395.5,1.956,30.027,15.3547,45.5,7.493,10.02,7.4074,27.3305,31.75,NA,NA,NA,NA,No,4,grass,"grass, golden rod, canadian thistle, unknown",3,golden rod,"golden rod, grass, feathery grass, weed",5,unknown,"unknown x3, golden rod, grass, ",4,flower,"flower, yellow flower, grass, feather grass",4,verbena?,"unknown-verbena, yellow flower, grass, weed",4,100.8,42.4,40.36442,-111.80884,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,173.0138889,204,NA,NA,NA,4.7,NA,NA,10,NA,Saline,,8.997,0.0474,0.172,0.6542,334.9,0.0073,0.006,0.0633,0.1382,22.95,3.13,25.72,0.3294,0.0227,5.476,0.0203,2.84,0.3305,41.51,0.02,3.462,1.472,0.4366,0.1022,0.3611
7C,7,C,Untreated,Untreated,-0.28,46.3,0.246,7.159,29.088,5.9,8.296,2.994,2.7963,0.1441,13.55,-17.75,8800,7.015,-198.85,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,192.2,4.2,40.37913,-111.90814,Jordan River Trail,Great Salt Lake,,,,N,,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,-84.4,-90,0.31,3.85,-14.2,19.4,16.15,NA,1,NA,Brackish,,22.3,0.1371,0.1679,0.4494,416.8,0.006,0.0269,0.1145,0.0757,49.11,10.29,63.85,1.762,0.0219,8.576,0.0768,2.755,0.0817,7.776,-0.0154,5.129,1.646,0.6503,0.2163,0.3124
8C,8,C,Native,Untreated,-0.1,62.9,0.389,7.1,18.2517,6.4,7.639,0.9339,4.696,0.1471,22.25,NA,NA,NA,NA,No,6,evenly distributed,"grass, evening primrose, ragweed, Indian weed, paintbrush, goldenrod",1,ragweed,ragweed,5,grass and wild carrot,"grass, wild carrot, americana bullrush, hardstem bullrush, sneezeweed",5,grass,"sneeze weed, americana bullrush, verbena, grass (bear grass?), grass",5,tomato,"american bullrush, canadian thistle, joe-pye weed, tomato, weed",4.4,97.8,52.4,40.36619,-111.81018,AF2,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,196.2,248.8,NA,NA,NA,2.3,NA,NA,15,NA,Fresh,,15.61,0.0392,0.0681,0.4651,270,0.0061,0.0129,0.0799,0.0635,35.65,5.404,47.75,2.627,0.0038,0.8357,0.0306,3.938,0.1025,6.299,-0.0176,5.142,0.7783,0.9513,0.1294,0.2707
9C,9,C,Treated,Treated,-0.02,269.6,1.579,22.191,14.0576,30.3,7.145,2.245,13.1193,10.1555,57.73,-10.5,1006,6.595,-17.5,Yes,2,hardstem bullrush,"hardstem bullrush, phragmites",4,mint?,"stinging nettle, mint?, hardstem bullrush, cattail",3,swamp verbena,"wild mint?, swamp verbena, cattail",4,swamp milkweed,"swamp milkweed, cattail, mint?, swamp verbena",4,swamp verbena,"swamp verbena, mint?, milkweed, cattail",3.4,175.2,29.2,40.27503,-111.74237,Powell Slough,Utah Lake,UL1,2021,,N,,4,26.7,0,N,Y, , , , ,Cause, , , , ,,-7,8,-8.2,0.185,2.45,-10.5,7.3,20.8,NA,7,Mow + Seed,Brackish,,12.24,0.0367,0.1877,0.7533,361.8,0.0063,0.0107,0.1303,0.2579,28.23,4.892,34.49,0.5125,0.0173,1.876,0.0642,5.739,0.2151,26.44,0.0078,3.315,1.466,0.4494,0.1362,0.7624
10C,10,C,Native,Untreated,-0.37,332.3,2.026,27.68,13.6619,32.6,7.44,4.407,13.0411,3.3124,52.19,-8,796,6.68,-234.1,No,3,swamp verbena,"thistle, cattail, swamp verbena",2,swamp milkweed,"swamp milkweed, swamp verbena",5,swamp milkweed,"swamp milkweed, thistle, hardstem bullrush, goldenrod, swamp verbena",2,swamp milkweed,"swamp milkweed, hardstem bullrush",5,swamp verbena,"swamp verbena, hardstem bullrush, swamp milkweed, cattail, mint?",3.4,113.4,26,40.27469,-111.74263,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,,-71,-83.6,0.1,1.4,-8,1.7,23.4,NA,7,Trample,Saline,,7.972,0.0356,0.1689,0.6357,192.8,0.0063,0.0059,0.1082,0.1541,18.58,3.398,20.82,0.1966,0.0147,1.997,0.0355,4.634,0.1821,35.47,0.0311,2.931,0.9146,0.3753,0.1354,0.461
11C,11,C,Treated,Treated,-0.29,253.9,2.032,28.592,14.0709,44.9,7.303,5.04,9.0572,2.5281,56.95,NA,NA,NA,NA,Yes,2,swamp verbena,"swamp verbena, some kind of vine",3,swamp verbena,"phragmites, some vine, swamp verbena",1,stressed phragmites,stressed phragmites,1,phragmites,phragmites,1,cattail,cattail,1.6,135.4,8,40.27276,-111.74384,Powell Slough,Utah Lake,UL2,2020,,N,,2,13.3,1,Y,Y, , , , ,Cause, , , , ,,,176.8,171.2,NA,NA,NA,11.1,NA,NA,4,Trample,Saline,,6.64,0.0447,0.1973,0.758,347.8,0.0029,0.0057,0.0868,0.0797,18.86,3.496,18.78,0.2867,0.0095,2.147,0.0202,5.108,0.1369,30.21,0.0011,3.132,1.33,0.3446,0.1022,0.267
12C,12,C,Native,Untreated,-0.28,380.6,1.555,24.656,15.8558,39.8,7.48,5.54,8.2639,0.1809,73.55,-6.6,2078.666667,6.913333333,-146.3333333,No,3,hardstem bullrush,"hardstem bullrush, cattail",2,hardstem bullrush,"cattail, hardstem bullrush",1,hardstem bullrush,hardstem bullrush,2,cattail,"cattail, stinging nettle",2,hardstem bullrush,"hardstem bullrush, cattail",2,184.4,13.6,40.27088,-111.7411,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,-87.8,-175.2,-236,0.136666667,1.766666667,-6.6,49.2,18.1,NA,3,Trample,Saline,,7.276,0.0863,0.2229,0.5427,350.8,0.0046,0.0115,0.0972,0.1,30.38,4.391,22.09,0.4904,0.0556,4.879,0.0363,4.842,0.0884,37.69,0.0259,3.319,1.482,0.3932,0.1378,0.4366
13C,13,C,Native,Untreated,-0.27,398.9,1.701,27.517,16.1735,42.9,7.455,4.725,7.9336,0.1616,65.15,-11.3,2072,7.06,-42.55,No,7,scirpus acutis,"eupmac, bererecta, mentha, scrirpos acclus, senecio, galium trityphe",7,typha,"typha, sen hyd, eup mac, verbena, berula,  cicuta, asclenias",6,typha,"urtaca, berula, tima, scir acu, asclepias, aliun",3,sparghanium,"hardstem bullrush, stinging nettle",4,cattail,"cattail, goldenrod, ""weird grass"", flower",5.4,183.4,41,40.27092,-111.74019,Powell Slough,Utah Lake,,,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,-17.02,-42.6,-141.6,0.13,1.6,-11.3,8,19.05,NA,20,Trample,Saline,,4.858,0.0754,0.2028,0.7632,461.7,0.0035,0.0088,0.0651,0.0718,23.26,2.895,22.39,0.7094,0.0326,4.228,0.0288,5.079,0.0807,40.59,0.0026,2.497,1.86,0.2811,0.1077,0.2335
